2019-09-09T07:08:52+00:00 CRITICAL syntax error, unexpected '$host_username' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) in /home/blsoftware/public_html/havefan/wp-content/themes/BLS_HaveFan_Theme/inc/classes/havefun_rest_api.php on line 17

2019-09-09T07:09:03+00:00 CRITICAL syntax error, unexpected '$host_username' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) in /home/blsoftware/public_html/havefan/wp-content/themes/BLS_HaveFan_Theme/inc/classes/havefun_rest_api.php on line 17

2019-09-09T07:09:17+00:00 CRITICAL syntax error, unexpected '$host_username' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) in /home/blsoftware/public_html/havefan/wp-content/themes/BLS_HaveFan_Theme/inc/classes/havefun_rest_api.php on line 17

2019-09-09T07:09:17+00:00 CRITICAL syntax error, unexpected '$host_username' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) in /home/blsoftware/public_html/havefan/wp-content/themes/BLS_HaveFan_Theme/inc/classes/havefun_rest_api.php on line 17

2019-09-09T07:09:18+00:00 CRITICAL syntax error, unexpected '$host_username' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) in /home/blsoftware/public_html/havefan/wp-content/themes/BLS_HaveFan_Theme/inc/classes/havefun_rest_api.php on line 17

2019-09-09T07:09:18+00:00 CRITICAL syntax error, unexpected '$host_username' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) in /home/blsoftware/public_html/havefan/wp-content/themes/BLS_HaveFan_Theme/inc/classes/havefun_rest_api.php on line 17

2019-09-09T07:09:18+00:00 CRITICAL syntax error, unexpected '$host_username' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) in /home/blsoftware/public_html/havefan/wp-content/themes/BLS_HaveFan_Theme/inc/classes/havefun_rest_api.php on line 17

2019-09-09T07:09:28+00:00 CRITICAL syntax error, unexpected '$host_username' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) in /home/blsoftware/public_html/havefan/wp-content/themes/BLS_HaveFan_Theme/inc/classes/havefun_rest_api.php on line 17

2019-09-09T07:09:37+00:00 CRITICAL syntax error, unexpected '$host_username' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) in /home/blsoftware/public_html/havefan/wp-content/themes/BLS_HaveFan_Theme/inc/classes/havefun_rest_api.php on line 17

2019-09-09T07:09:59+00:00 CRITICAL syntax error, unexpected '$host_username' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) in /home/blsoftware/public_html/havefan/wp-content/themes/BLS_HaveFan_Theme/inc/classes/havefun_rest_api.php on line 17

2019-09-09T07:10:02+00:00 CRITICAL syntax error, unexpected '$host_username' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) in /home/blsoftware/public_html/havefan/wp-content/themes/BLS_HaveFan_Theme/inc/classes/havefun_rest_api.php on line 17

2019-09-09T07:10:06+00:00 CRITICAL syntax error, unexpected '$host_username' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) in /home/blsoftware/public_html/havefan/wp-content/themes/BLS_HaveFan_Theme/inc/classes/havefun_rest_api.php on line 17

2019-09-09T07:10:13+00:00 CRITICAL syntax error, unexpected '$host_username' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) in /home/blsoftware/public_html/havefan/wp-content/themes/BLS_HaveFan_Theme/inc/classes/havefun_rest_api.php on line 17

2019-09-09T07:10:22+00:00 CRITICAL syntax error, unexpected '$host_username' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) in /home/blsoftware/public_html/havefan/wp-content/themes/BLS_HaveFan_Theme/inc/classes/havefun_rest_api.php on line 17

2019-09-09T07:10:27+00:00 CRITICAL syntax error, unexpected '$host_username' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) in /home/blsoftware/public_html/havefan/wp-content/themes/BLS_HaveFan_Theme/inc/classes/havefun_rest_api.php on line 17

2019-09-09T07:10:34+00:00 CRITICAL syntax error, unexpected '$host_username' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) in /home/blsoftware/public_html/havefan/wp-content/themes/BLS_HaveFan_Theme/inc/classes/havefun_rest_api.php on line 17

2019-09-09T07:10:38+00:00 CRITICAL syntax error, unexpected '$host_username' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) in /home/blsoftware/public_html/havefan/wp-content/themes/BLS_HaveFan_Theme/inc/classes/havefun_rest_api.php on line 17

2019-09-09T07:10:38+00:00 CRITICAL syntax error, unexpected '$host_username' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) in /home/blsoftware/public_html/havefan/wp-content/themes/BLS_HaveFan_Theme/inc/classes/havefun_rest_api.php on line 17

2019-09-09T07:10:44+00:00 CRITICAL syntax error, unexpected '$host_username' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) in /home/blsoftware/public_html/havefan/wp-content/themes/BLS_HaveFan_Theme/inc/classes/havefun_rest_api.php on line 17

2019-09-09T07:11:01+00:00 CRITICAL syntax error, unexpected '$host_username' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) in /home/blsoftware/public_html/havefan/wp-content/themes/BLS_HaveFan_Theme/inc/classes/havefun_rest_api.php on line 17

2019-09-09T07:11:07+00:00 CRITICAL syntax error, unexpected '$host_username' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) in /home/blsoftware/public_html/havefan/wp-content/themes/BLS_HaveFan_Theme/inc/classes/havefun_rest_api.php on line 17

2019-09-09T07:11:18+00:00 CRITICAL syntax error, unexpected '$host_username' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) in /home/blsoftware/public_html/havefan/wp-content/themes/BLS_HaveFan_Theme/inc/classes/havefun_rest_api.php on line 17

2019-09-09T07:11:26+00:00 CRITICAL syntax error, unexpected '$host_username' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) in /home/blsoftware/public_html/havefan/wp-content/themes/BLS_HaveFan_Theme/inc/classes/havefun_rest_api.php on line 17

2019-09-09T07:11:29+00:00 CRITICAL syntax error, unexpected '$host_username' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) in /home/blsoftware/public_html/havefan/wp-content/themes/BLS_HaveFan_Theme/inc/classes/havefun_rest_api.php on line 17

2019-09-09T07:11:52+00:00 CRITICAL syntax error, unexpected '$host_username' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) in /home/blsoftware/public_html/havefan/wp-content/themes/BLS_HaveFan_Theme/inc/classes/havefun_rest_api.php on line 17

2019-09-09T07:12:00+00:00 CRITICAL syntax error, unexpected '$host_username' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) in /home/blsoftware/public_html/havefan/wp-content/themes/BLS_HaveFan_Theme/inc/classes/havefun_rest_api.php on line 17

